expDate,creditCard,seatType,seatPref
2024-03-08,4111111111111111,Coach,Window
2025-07-15,5555555555555555,Business,Aisle
2023-12-12,378282246310005,First,Window
2026-05-19,6011111111111111,Coach,Aisle
2024-09-22,4012888888881881,Business,Window
2025-03-03,5105105105105100,First,Aisle
2023-10-10,341111111111111,Coach,Window
2026-07-14,6011000990139424,Business,Aisle
2024-05-20,4222222222222,First,Window
2025-09-12,5500000000000000,Coach,Aisle
2023-04-19,371449635398431,Business,Window
2026-01-16,6011111111111111,First,Aisle
